test,model,position,loss
random,BDH,144,14.847556114196777
random,Transformer,144,13.756439208984375
random,BDH,145,14.546052932739258
random,Transformer,145,13.989264488220215
random,BDH,146,14.957868576049805
random,Transformer,146,14.06624984741211
random,BDH,147,14.7791109085083
random,Transformer,147,13.946945190429688
random,BDH,148,14.699090957641602
random,Transformer,148,13.956037521362305
random,BDH,149,14.527751922607422
random,Transformer,149,13.737667083740234
random,BDH,150,14.474485397338867
random,Transformer,150,14.000568389892578
random,BDH,151,14.491259574890137
random,Transformer,151,13.699275970458984
random,BDH,152,14.207950592041016
random,Transformer,152,13.89305305480957
random,BDH,153,14.639314651489258
random,Transformer,153,14.318889617919922
random,BDH,154,14.242572784423828
random,Transformer,154,14.200848579406738
random,BDH,155,14.283496856689453
random,Transformer,155,13.716228485107422
random,BDH,156,14.66921329498291
random,Transformer,156,13.47473430633545
random,BDH,157,14.197951316833496
random,Transformer,157,13.38965892791748
random,BDH,158,14.551368713378906
random,Transformer,158,13.346811294555664
random,BDH,159,14.124068260192871
random,Transformer,159,13.629722595214844
random,BDH,160,14.315732955932617
random,Transformer,160,13.767969131469727
random,BDH,161,13.956721305847168
random,Transformer,161,13.666722297668457
random,BDH,162,14.227653503417969
random,Transformer,162,13.536890029907227
random,BDH,163,14.330699920654297
random,Transformer,163,13.62857437133789
random,BDH,164,14.368735313415527
random,Transformer,164,14.250761032104492
random,BDH,165,14.527931213378906
random,Transformer,165,14.034969329833984
random,BDH,166,14.964300155639648
random,Transformer,166,14.21577262878418
random,BDH,167,14.886665344238281
random,Transformer,167,14.036609649658203
random,BDH,168,15.076862335205078
random,Transformer,168,14.478676795959473
random,BDH,169,14.587432861328125
random,Transformer,169,13.89454460144043
random,BDH,170,14.520284652709961
random,Transformer,170,13.79189682006836
random,BDH,171,14.790107727050781
random,Transformer,171,14.090734481811523
random,BDH,172,14.729793548583984
random,Transformer,172,14.375273704528809
random,BDH,173,14.389206886291504
random,Transformer,173,13.415159225463867
random,BDH,174,14.654264450073242
random,Transformer,174,14.25193977355957
random,BDH,175,14.316217422485352
random,Transformer,175,13.947454452514648
random,BDH,176,14.732121467590332
random,Transformer,176,14.010602951049805
random,BDH,177,15.106473922729492
random,Transformer,177,13.70919418334961
random,BDH,178,14.237771034240723
random,Transformer,178,13.711246490478516
random,BDH,179,14.737625122070312
random,Transformer,179,13.96841049194336
random,BDH,180,14.519790649414062
random,Transformer,180,13.671306610107422
random,BDH,181,14.849377632141113
random,Transformer,181,14.225505828857422
random,BDH,182,14.545157432556152
random,Transformer,182,13.688508987426758
random,BDH,183,14.659513473510742
random,Transformer,183,13.666215896606445
random,BDH,184,14.676799774169922
random,Transformer,184,13.710441589355469
random,BDH,185,14.267589569091797
random,Transformer,185,13.93881607055664
random,BDH,186,14.708540916442871
random,Transformer,186,14.326264381408691
random,BDH,187,13.87039852142334
random,Transformer,187,13.637962341308594
random,BDH,188,14.754716873168945
random,Transformer,188,14.052867889404297
random,BDH,189,14.775975227355957
random,Transformer,189,14.006818771362305
random,BDH,190,14.702980041503906
random,Transformer,190,14.061834335327148
random,BDH,191,14.541435241699219
random,Transformer,191,14.107279777526855
random,BDH,192,14.288839340209961
random,Transformer,192,13.757834434509277
random,BDH,193,14.410205841064453
random,Transformer,193,13.815505981445312
random,BDH,194,14.770956039428711
random,Transformer,194,13.694906234741211
random,BDH,195,14.360546112060547
random,Transformer,195,14.295833587646484
random,BDH,196,14.855287551879883
random,Transformer,196,14.073365211486816
random,BDH,197,14.732217788696289
random,Transformer,197,14.011333465576172
random,BDH,198,14.680036544799805
random,Transformer,198,13.747907638549805
random,BDH,199,14.748382568359375
random,Transformer,199,14.167991638183594
random,BDH,200,14.382911682128906
random,Transformer,200,13.93790054321289
random,BDH,201,14.769559860229492
random,Transformer,201,13.695804595947266
random,BDH,202,14.508198738098145
random,Transformer,202,13.544057846069336
random,BDH,203,14.145017623901367
random,Transformer,203,13.545032501220703
random,BDH,204,14.34095573425293
random,Transformer,204,14.000513076782227
random,BDH,205,14.948343276977539
random,Transformer,205,14.003639221191406
random,BDH,206,14.654788970947266
random,Transformer,206,13.708805084228516
random,BDH,207,14.943004608154297
random,Transformer,207,14.352270126342773
random,BDH,208,14.962746620178223
random,Transformer,208,14.441288948059082
random,BDH,209,14.71732234954834
random,Transformer,209,14.066587448120117
random,BDH,210,14.357219696044922
random,Transformer,210,13.67000675201416
random,BDH,211,14.31826400756836
random,Transformer,211,13.911245346069336
random,BDH,212,14.275259971618652
random,Transformer,212,13.287243843078613
random,BDH,213,14.343989372253418
random,Transformer,213,14.108659744262695
random,BDH,214,14.757946014404297
random,Transformer,214,14.053911209106445
random,BDH,215,14.840177536010742
random,Transformer,215,13.797371864318848
random,BDH,216,14.328514099121094
random,Transformer,216,13.462854385375977
random,BDH,217,14.886512756347656
random,Transformer,217,14.270989418029785
random,BDH,218,14.73736572265625
random,Transformer,218,14.21771240234375
random,BDH,219,14.340740203857422
random,Transformer,219,14.06757926940918
random,BDH,220,14.11318588256836
random,Transformer,220,13.721512794494629
random,BDH,221,14.049562454223633
random,Transformer,221,13.624872207641602
random,BDH,222,14.794403076171875
random,Transformer,222,14.134990692138672
random,BDH,223,14.977313995361328
random,Transformer,223,14.388033866882324
random,BDH,224,14.430843353271484
random,Transformer,224,14.123083114624023
random,BDH,225,14.488059043884277
random,Transformer,225,13.640315055847168
random,BDH,226,14.227996826171875
random,Transformer,226,13.791912078857422
random,BDH,227,14.839720726013184
random,Transformer,227,14.559930801391602
random,BDH,228,14.692721366882324
random,Transformer,228,14.238398551940918
random,BDH,229,14.2002534866333
random,Transformer,229,13.869224548339844
random,BDH,230,15.24551773071289
random,Transformer,230,13.80845832824707
random,BDH,231,14.84146785736084
random,Transformer,231,14.476799011230469
random,BDH,232,14.686592102050781
random,Transformer,232,13.905150413513184
random,BDH,233,14.921717643737793
random,Transformer,233,14.027398109436035
random,BDH,234,14.795336723327637
random,Transformer,234,14.246469497680664
random,BDH,235,14.705684661865234
random,Transformer,235,14.063023567199707
random,BDH,236,14.545085906982422
random,Transformer,236,14.28637409210205
random,BDH,237,14.548628807067871
random,Transformer,237,13.838685989379883
random,BDH,238,14.300561904907227
random,Transformer,238,13.882349967956543
random,BDH,239,14.700756072998047
random,Transformer,239,13.958174705505371
random,BDH,240,14.46053695678711
random,Transformer,240,14.059366226196289
random,BDH,241,14.714784622192383
random,Transformer,241,14.04141616821289
random,BDH,242,14.7998628616333
random,Transformer,242,14.129584312438965
random,BDH,243,14.33596420288086
random,Transformer,243,13.681756973266602
random,BDH,244,14.38882827758789
random,Transformer,244,13.897167205810547
random,BDH,245,14.45106315612793
random,Transformer,245,13.986531257629395
random,BDH,246,14.906343460083008
random,Transformer,246,13.951386451721191
random,BDH,247,14.429624557495117
random,Transformer,247,13.723011016845703
random,BDH,248,14.43159294128418
random,Transformer,248,14.195947647094727
random,BDH,249,14.13998794555664
random,Transformer,249,14.153825759887695
random,BDH,250,14.286760330200195
random,Transformer,250,13.604700088500977
random,BDH,251,14.618823051452637
